firstName;lastName;email;mobile;password
Vanessa;Hardin;vanessa@gmail.com;27891234589;12345
Hassan;Moses;hassan@gmail.com;27791234589;54321
Karter;Spencer;karter@gmail.com;27781234589;123456
Ace;Jarvis;ace@gmail.com;27780234589;654321
Elisabeth;Kelly;elisabeth@gmail.com;27725234589;7098765
Cooper;Barnett;cooper@gmail.com;27690934589;9093828
Harlow;Kane;harlow@gmail.com;27656634589;11088891
Brock;Lee;brock@gmail.com;27622334589;13083954
Scarlett;Hull;scarlett@gmail.com;27588034589;1507907
Salem;Soto;salem@gmail.com;27553734589;1707408
Brynlee;Macdonald;brynlee@gmail.com;27519434589;1906913
Hugh;Juarez;hugh@gmail.com;27485134589;21064206
Juliet;Reynolds;juliet@gmail.com;27450834589;23059269
Vincent ;Fowler;vincent@gmail.com;27416534589;25054332
Lennon;McGee;lennon@gmail.com;27382234589;27049395
Conner;Maddox;conner@gmail.com;27347934589;29044458
